영화ID,영화제목,장르,개봉 연도,상영 시간(분),평점,label1,label2,is_certain,긍정 평론 (핵심 요약),부정 평론 (핵심 요약)
M011,야당,범죄/드라마,2024,122,2.9,긴장감을 느끼고 싶어,몰입하고 싶어,1,정치적 편향성 없이 속도감 넘치는 전개와 탄탄한 각본으로 장르적 순수 재미를 극대화한 모범적인 상업 영화다.,전반부 전개가 다소 길게 느껴지며 마무리가 다소 기성 복수극의 전형성을 벗어나지 못해 아쉽다.
M012,소공녀,드라마,2017,106,3.8,생각하게 만드는 영화를 보고 싶어,미장센이 좋은 영화를 보고 싶어,1,N포 세대 현실 속에서도 자신만의 확고한 취향과 낭만을 당당하게 지켜내는 현대판 독립 여성의 탄생을 매력적으로 그렸다.,지나치게 비현실적인 주인공의 태도가 시대의 궁핍함을 직시하기보다 철없는 낭만주의로 비칠 우려가 있다.
M013,불한당,범죄/액션,2016,120,3.8,몰입하고 싶어,미장센이 좋은 영화를 좋은 영화를 보고 싶어,1,스타일리시한 미장센과 감각적인 연출 속에서 두 남자의 끈적하고 밀도 높은 심리전과 관계성을 완벽하게 시각화했다.,장르적 멋에 치중한 나머지 기존 느와르 영화들의 클리셰와 서사 구조를 답습하는 한계를 보인다.
M014,4등,스포츠/드라마,2015,116,3.6,생각하게 만드는 영화를 보고 싶어,성장 이야기가 보고 싶어,1,스포츠계의 고질적인 폭력 문제를 지적하며 1등만 기억하는 잔인한 한국 사회의 민낯을 담담하고도 예리하게 꼬집었다.,극의 중반 이후 갈등 해결 방식과 메시지 전달이 다소 교훈적이고 평이하게 흘러간다.
M015,동주,역사/드라마,2015,110,3.9,울고 싶어,생각하게 만드는 영화를 보고 싶어,1,흑백 화면을 통해 화려하지 않아도 청년 윤동주와 송몽규의 고뇌와 부끄러움을 담백하고 깊이 있게 복원해냈다.,인물의 내면을 깊게 파고드는 대신 문학적 묘사와 나레이션에 지나치게 의존한 감이 있다.
M016,파수꾼,드라마,2010,117,3.9,생각하게 만드는 영화를 보고 싶어,성장 이야기가 보고 싶어,1,불안정한 청춘들의 미성숙한 소통 방식과 오해를 서늘하면서도 밀도 높은 심리 묘사로 집요하게 추적했다.,과거와 현재를 오가는 불친절한 교차 편집이 몰입을 방해하거나 다소 피로감을 줄 수 있다.
M017,설국열차,액션/SF,2013,125,3.8,몰입하고 싶어,생각하게 만드는 영화를 보고 싶어,1,계급 사회의 축소판인 기차라는 독창적인 공간 속에서 묵직한 사회적 메시지와 SF적 오락성을 훌륭하게 결합했다.,후반부 시스템의 진실이 밝혀지는 과정에서 서사적 설득력이 떨어지고 결말의 허무함이 남는다.
M018,스윙키즈,뮤지컬/전쟁,2018,132,3.4,음악이 좋은 영화를 보고 싶어,감동받고 싶어,1,이념 대립의 비극 속에서도 탭댄스라는 매개체를 통해 폭발하는 젊음의 에너지와 화려한 퍼포먼스를 감각적으로 담았다.,코미디와 이념 갈등의 비극적 서사가 유기적으로 섞이지 못하고 톤앤매너가 급격하게 튀어 당혹스럽다.
M019,인생은 아름다워,뮤지컬/코미디,2020,122,3,음악이 좋은 영화를 보고 싶어,가족이랑 보고 싶어,1,친숙한 대중가요 넘버들을 활용해 전 세대가 공감할 수 있는 웃음과 눈물의 주크박스 뮤지컬을 완성했다.,남편과 자녀의 가부장적이고 무례한 태도가 시한부 아내의 가련한 고난을 자극하기 위한 도구로 과하게 소비되었다.
M020,굿뉴스,코미디/스릴러,2025,136,3.6,미장센이 좋은 영화를 보고 싶어,몰입하고 싶어,1,실화 기반의 무거운 소재를 변성현 감독 특유의 힙하고 파격적인 연출과 재치 있는 블랙코미디로 부담 없이 풀어냈다.,풍자와 코미디 요소가 중반 이후 다소 반복되면서 상황이 주는 특유의 장르적 긴장감이 떨어진다.
M021,택시운전사,드라마,2017,137,4.1,감동받고 싶어,가족이랑 보고 싶어,1,역사적 비극을 평범한 소시민의 시선으로 담아내 묵직한 감동과 높은 몰입감을 선사합니다.,후반부의 억지스러운 카체이싱 추격 신은 극의 리얼리티를 해치고 다소 작위적입니다.
M022,공조,액션/코미디,2017,125,3.6,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,유해진과 현빈의 상반된 케미스트리와 속도감 있는 액션이 킬링타임 오락영화로서 제 역할을 다합니다.,전형적인 버디무비의 공식을 그대로 답습하여 서사가 뻔하고 신선함이 부족합니다.
M023,모가디슈,액션/스릴러,2020,121,3.4,긴장감을 느끼고 싶어,몰입하고 싶어,1,실화 바탕의 긴박한 전개와 후반부 자동차 탈출 액션 연출이 한국 상업영화의 기술적 정점을 보여줍니다.,신파를 덜어낸 점은 좋으나 일부 인물들의 전사가 생략되어 감정선이 다소 평평하게 느껴집니다.
M024,남산의 부장들,스릴러/드라마,2019,114,3.5,몰입하고 싶어,긴장감을 느끼고 싶어,1,사건의 배경을 건조하고 팽팽한 서스펜스로 풀어냈으며 배우들의 밀도 높은 연기가 압권입니다.,실제 역사 이면의 복잡한 정치적 맥락을 개인의 사사로운 감정과 심리 대립으로만 단순화했습니다.
M025,승리호,SF/액션,2020,136,2.8,가벼운 마음으로 시간을 보내고 싶어,가족이랑 보고 싶어,1,한국 최초의 본격 우주 SF 영화로서 거대한 스케일과 독창적이고 화려한 CG 비주얼을 성공적으로 구현했습니다.,할리우드 우주 영화의 클리셰를 모아놓은 듯한 각본과 후반부 강요되는 신파가 아쉽습니다.
M026,비와 당신의 이야기,로맨스/드라마,2020,117,3.2,설레고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,아날로그 감성을 자극하는 잔잔한 영상미와 기다림이라는 보편적인 정서를 섬세하게 터치합니다.,느린 호흡과 모호한 전개 탓에 지루하게 느껴질 수 있으며 극적인 재미는 떨어집니다.
M027,극한직업,코미디,2018,111,4.2,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,시종일관 쉴 틈 없이 터지는 대사와 위트 있는 연출로 코미디 영화 본연의 목적에 완벽히 충실합니다.,클라이맥스의 액션 시퀀스가 다소 과장되어 있으며 깊이 있는 메시지나 서사적 완성도는 낮습니다.
M028,완벽한 타인,코미디/드라마,2018,115,3.8,웃고 싶어,친구랑 보고 싶어,1,한정된 공간 안에서 스마트폰이라는 소재를 활용해 인간의 가식과 비밀을 영리하고 촌철살인으로 풍자합니다.,막장 드라마식 자극적인 폭로가 연이어 터지면서 후반부로 갈수록 피로감이 쌓입니다.
M029,다음 소희,드라마,2022,138,3.7,울고 싶어,생각하게 만드는 영화를 보고 싶어,1,현장실습생의 비극을 과장된 신파 없이 냉철하고 객관적인 시선으로 포착해 깊은 사회적 울림을 줍니다.,전반부와 후반부의 서사 구조가 이분법적으로 명확히 갈려 영화적 리듬이 다소 투박하게 다가옵니다.
M030,미씽: 사라진 여자,미스터리/스릴러,2016,100,3.5,긴장감을 느끼고 싶어,몰입하고 싶어,1,두 여성 캐릭터의 절박한 서사를 통해 모성애라는 감정 뒤에 숨겨진 계급과 이주민 사회 문제를 날카롭게 짚어냅니다.,미스터리 스릴러로서의 장르적 긴장감이나 정교한 추리 플롯의 매력은 상대적으로 느슨합니다.
M031,카트,드라마,2014,104,3.4,생각하게 만드는 영화를 보고 싶어,성장 이야기가 보고 싶어,1,비정규직 노동 문제를 자극적이지 않고 담백하면서도 묵직하게 그려낸 웰메이드 사회고발 극이다,다소 전형적인 약자와 강자의 구도로 전개되어 후반부 신파적 감정 과잉이 아쉽다
M032,해치지않아,코미디,2019,117,2.9,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,동물 없는 동물원이라는 기발한 콘셉트를 바탕으로 가볍고 무해한 웃음을 선사한다,무리한 설정에 비해 개그의 타율이 낮고 후반부 갈등 해결이 다소 안이하게 풀린다
M033,시간이탈자,스릴러/로맨스,2015,102,3.2,긴장감을 느끼고 싶어,반전을 보고 싶어,1,두 시대의 살인사건을 유기적으로 엮어 극의 긴장감과 스릴러의 몰입감을 잘 살려냈다,타임슬립 장르의 고질적인 허점과 허술한 개연성이 몰입을 가로막는다
M034,늑대소년,로맨스,2012,125,3.5,설레고 싶어,울고 싶어,1,두 주인공의 순수한 감정선과 동화 같은 영상미가 관객의 감수성을 자극하며 긴 여운을 남긴다,후반부로 갈수록 작위적인 눈물 유도와 한국식 신파 공식에 지나치게 의존한다
M035,전우치,액션/코미디,2009,136,3.5,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,고전 영웅을 현대적이고 재기발랄하게 재해석했으며 강동원의 독보적인 캐릭터 소화력이 돋보인다,CG의 완성도가 다소 튀고 산만한 플롯 탓에 극의 후반부 몰입도가 떨어진다
M036,외계+인 1부,액션/판타지/SF,2022,142,2.9,웃고 싶어,친구랑 보고 싶어,1,독창적인 세계관과 과거와 현대 외계인을 넘나드는 과감하고 스펙터클한 상상력이 매력적이다,지나치게 많은 설정을 과도하게 쏟아내어 이야기의 전개가 산만하고 피로감을 준다
M037,검은 사제들,공포/스릴러,2015,108,3.7,긴장감을 느끼고 싶어,몰입하고 싶어,1,한국형 엑소시즘 장르의 성공적인 포문을 열었으며 밀도 높은 연출과 배우들의 열연이 압권이다,할리우드 오컬트 영화의 익숙한 클리셰를 답습하는 수준에 그쳐 신선함이 부족하다
M038,파묘,공포/스릴러,2024,134,3.5,긴장감을 느끼고 싶어,몰입하고 싶어,1,한국 전통 무속 신앙과 근현대사의 아픔을 영리하게 결합해 독보적인 몰입감과 긴장감을 선사한다,전반부의 팽팽한 오컬트적 텐션이 후반부 크리처물로 전환되면서 호불호가 크게 갈린다
M039,엑시트,재난/코미디,2019,103,4,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,신파와 빌런 없이 오직 재기발랄한 아이디어와 생동감 넘치는 액션으로 꽉 채운 담백한 재난 탈출극이다,재난의 원인과 배경 설명이 지나치게 생략되어 서사의 깊이가 아쉽다
M040,검사외전,범죄/코미디,2015,126,3.7,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,황정민과 강동원의 찰진 버디 케미스트리와 가볍고 유쾌한 오락성이 확실한 재미를 보장한다,케이퍼 무비로서의 짜임새나 치밀한 두뇌 싸움의 묘미는 다소 떨어지고 허술하다
M041,휴민트,액션/스릴러,2025,149,2.7,긴장감을 느끼고 싶어,몰입하고 싶어,0,블라디보스토크의 서늘한 미장센 속에서 류승완 감독 특유의 집요한 액션과 인간적인 묵직한 드라마가 조화를 이룬다,서사 위로 흐르는 차갑고 무거운 첩보물의 고전적 분위기가 대중적 오락성을 기대한 관객에겐 지루할 수 있다
M042,구타유발자들,범죄/스릴러/코미디,2006,115,3,생각하게 만드는 영화를 보고 싶어,반전을 보고 싶어,0,인간의 위선과 폭력의 악순환을 기괴하면서도 날카롭고 집요하게 파헤친 문제작이다,불쾌감을 자아내는 가학적인 묘사와 난해한 연출 때문에 대중적으로 감상하기 어렵다
M043,헤어질 결심,로맨스/드라마/미스터리/범죄/스릴러,2022,138,4.1,미장센이 좋은 영화를 보고 싶어,몰입하고 싶어,1,박찬욱 감독만의 매혹적인 미장센과 붕괴된 인간의 사랑을 우아하고 감각적으로 담아낸 걸작이다,은유와 절제가 지나쳐 인물들의 감정선을 직관적으로 따라가기 어렵고 불친절하다
M044,블랙머니,범죄/드라마,2019,113,2.9,몰입하고 싶어,생각하게 만드는 영화를 보고 싶어,1,론스타 사건이라는 복잡한 금융 범죄를 관객의 눈높이에 맞춰 명쾌하고 통쾌하게 풀어냈다,실화 기반 서사에 충실한 나머지 고발 다큐멘터리 같은 전형적인 구조를 벗어나지 못한다
M045,올뺴미,시대극/스릴러/미스터리,2022,118,3.5,긴장감을 느끼고 싶어,반전을 보고 싶어,1,맹인 침술사라는 신선한 설정과 인조실록의 틈새를 날카롭게 파고든 웰메이드 궁중 스릴러다,후반부 픽션의 강도가 높아지면서 팩션 장르 특유의 역사적 개연성이 흔들린다
M046,범죄의 여왕,범죄/스릴러/코미디,2016,103,3.4,몰입하고 싶어,웃고 싶어,1,촉 좋은 아줌마를 전면에 내세워 신선한 유머와 스릴러를 솜씨 좋게 버무린 독창적인 독립영화다,후반부 본격 스릴러로 해결되는 과정의 스케일과 추리적 정교함이 다소 빈약하다
M047,귀공자,범죄/액션,2022,118,2.8,긴장감을 느끼고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,박훈정 감독 특유의 피비린내 나는 하드보일드 액션과 속도감 광기 어린 캐릭터가 돋보인다,지나치게 잔혹한 폭력 묘사에 비해 서사적 설득력과 스토리의 개연성이 부족하다
M048,콘크리트마켓,재난/드라마,2025,122,2.4,몰입하고 싶어,생각하게 만드는 영화를 보고 싶어,0,디스토피아 속 자본주의 시장이라는 도발적인 컨셉과 젊은 배우들의 활력 있는 에너지가 흥미롭다,매력적인 초기 설정과 타이트한 긴장감에 비해 후반부 세계관의 설계와 논리가 무너진다
M049,마녀(魔女) Part2. The Other One,액션/판타지,2021,137,2.6,긴장감을 느끼고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,전편의 세계관을 대폭 확장하며 화려하고 압도적인 초능력 액션 스펙터클을 가감 없이 보여준다,다음 시리즈를 위한 브릿지 역할에 집중하느라 전개 속도가 느리고 설명조의 대사가 많다
M050,극락도 살인사건,스릴러/미스터리,2007,112,2.9,긴장감을 느끼고 싶어,반전을 보고 싶어,1,고립된 섬이라는 공간을 활용해 인간의 탐욕과 미스터리 추리극의 서스펜스를 훌륭하게 구축했다,후반부 사건의 진상이 밝혀지는 과정의 해답이 다소 황당하고 작위적이다
M051,마더,드라마/범죄,2009,128,3.7,생각하게 만드는 영화를 보고 싶어,몰입하고 싶어,1,봉준호 감독의 뒤틀린 모성애에 대한 고찰과 김혜자의 신들린 듯한 연기가 전율을 선사한다,인간의 추악하고 어두운 내면을 지나치게 집요하게 파고들어 감상 후 피로감과 불쾌감이 남는다
M052,버닝,미스터리,2018,148,3.5,생각하게 만드는 영화를 보고 싶어,미장센이 좋은 영화를 보고 싶어,0,무라카미 하루키의 원작을 한국의 청춘 현실로 치환해 모호하고 감각적인 서스펜스를 완성했다,지나치게 함축적이고 불명확한 메시지 탓에 대중적인 재미와 오락성은 떨어지며 난해하다
M053,시,드라마,2010,140,3.9,생각하게 만드는 영화를 보고 싶어,울고 싶어,1,이창동 감독의 깊이 있는 시선으로 삶의 비극과 아름다움을 시라는 예술로 승화한 마스터피스다,호흡이 매우 느리고 정적인 데다 다루는 현실의 비극이 너무 무거워 마음이 아프다
M054,다시 태어나도 우리,다큐멘터리,2016,95,4.0,감동받고 싶어,가족이랑 보고 싶어,1,전생을 기억하는 린포체 소년과 스승의 헌신적인 사랑을 담은 무해하고 눈물겨운 휴먼 다큐멘터리다,극적인 서사 구조를 기대한 관객에게는 잔잔하고 정적인 다큐의 특성이 지루할 수 있다
M055,윗집 사람들,드라마/코미디,2025,107,2.8,긴장감을 느끼고 싶어,,0,하정우 감독 특유의 발칙한 코미디적 풍자와 주연 배우들의 농밀하고 찰진 티키타카가 독특한 재미를 준다,청소년 관람불가 소재의 매운맛에 비해 후반부 장르적인 카타르시스나 수위의 해방감이 다소 애매하다
M056,서울의 봄,드라마/시대극/스릴러,2023,141,3.8,긴장감을 느끼고 싶어,몰입하고 싶어,1,철저한 고증과 폭발적인 연출력으로 한국 현대사의 가장 긴박했던 9시간을 완벽하게 재구성했다,결말을 이미 알고 보는 역사적 실화이기에 감상하는 내내 엄청난 스트레스와 답답함을 유발한다
M057,부산행,액션/스릴러,2016,118,3.7,긴장감을 느끼고 싶어,가족이랑 보고 싶어,1,한국형 좀비 크리처물의 신기원을 열었으며 시종일관 멈추지 않는 압도적인 속도감과 액션이 일품이다,재난 상황 속 인간 군상의 이기주의와 눈물을 강요하는 한국식 신파 배치가 식상하다
M058,변호인,드라마/시대극,2013,127,4.1,감동받고 싶어,울고 싶어,1,시대의 아픔에 맞선 한 인간의 변화 과정을 송강호의 압도적인 연기력과 법정 대사로 뜨겁게 그려냈다,실존 인물의 미화 논란과 함께 전반부 가벼운 톤과 후반부 무거운 톤의 격차가 다소 급작스럽다
M059,베테랑,액션/드라마/범죄,2014,124,4.0,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,류승완 감독 특유의 통쾌한 액션과 유아인의 역대급 빌런 연기가 만나 카타르시스를 선사하는 오락영화다,권선징악의 전형적인 구도를 따르고 있어 이야기의 흐름과 결말이 쉽게 예측 가능하다
M060,명량,시대극/액션/드라마/전쟁,2014,128,3.7,감동받고 싶어,몰입하고 싶어,1,이순신 장군이라는 역대급 영웅 서사와 후반 1시간에 달하는 해상 전투 신의 몰입감이 압도적이다.,전반부의 전개가 다소 지루하고 신파조의 연출과 평면적인 캐릭터 구성이 아쉽다.
M061,괴물,스릴러/드라마/SF,2006,119,3.9,긴장감을 느끼고 싶어,생각하게 만드는 영화를 보고 싶어,1,사회 비판적인 메시지를 괴수 장르와 블랙 코미디 속에 훌륭하게 녹여낸 한국형 괴수 영화의 마스터피스다.,후반부로 갈수록 장르적 긴장감이 떨어지고 다소 작위적인 설정이 눈에 띈다.
M062,도둑들,범죄/액션/드라마,2012,135,3.9,가벼운 마음으로 시간을 보내고 싶어,친구랑 보고 싶어,0,개성 넘치는 캐릭터들의 매력과 리드미컬하고 속도감 있는 케이퍼 무비 특유의 오락성이 돋보인다.,다수의 캐릭터를 다루다 보니 후반부 서사가 다소 산만해지고 감정선이 얕다.
M063,수상한 그녀,코미디/드라마,2013,124,3.8,웃고 싶어,가족이랑 보고 싶어,1,배우 심은경의 뛰어난 하드캐리 연기와 남녀노소 누구나 공감할 수 있는 따뜻한 가족애가 매력적이다.,한국 상업영화 특유의 전형적인 신파 공식과 클리셰에서 벗어나지 못했다.
M064,마녀,액션/판타지,2018,126,3.3,반전을 보고 싶어,몰입하고 싶어,1,여성 원톱 액션 장르로서 신선하고 감각적인 비주얼과 후반부 반전의 쾌감이 훌륭하다.,초반 서사 전개가 지나치게 늘어지고 속편을 염두에 둔 설명조의 대사가 많다.
M065,만약에 우리,로맨스,2025,114,3.4,설레고 싶어,울고 싶어,1,중국 원작의 아련하고 먹먹한 감성을 한국 정서로 재해석하여 현실 연애의 공감을 자아낸다.,장르 특성상 멜로 영화 특유의 진부함이 느껴지고 전반적인 전개 속도가 다소 느리다.
M066,왕과 사는 남자,시대극/드라마,2025,116,3.2,생각하게 만드는 영화를 보고 싶어,미장센이 좋은 영화를 보고 싶어,1,장항준 감독의 색다른 시선으로 비극적 역사를 재해석하여 묵직한 울림과 뛰어난 영상미를 선보인다.,역사적 배경 지식이 없으면 다소 불친절하게 느껴질 수 있고 일부 연출 방식이 올드하다.
M067,베테랑2,범죄/드라마,2024,118,2.6,긴장감을 느끼고 싶어,친구랑 보고 싶어,0,황정민과 정해인의 강렬한 액션 시너지와 어두워진 톤앤매너로 사회적 묵직한 화두를 던진다.,1편 특유의 통쾌하고 유쾌한 오락성을 기대한 관객에게는 다소 무겁고 호불호가 갈린다.
M068,청년경찰,액션/코미디,2017,109,3.8,웃고 싶어,몰입하고 싶어,1,박서준과 강하늘의 유쾌한 버디 케미스트리와 가볍게 즐기기 좋은 청춘 수사극의 재미를 살렸다.,조선족에 대한 혐오적 묘사와 자극적이고 폭력적인 범죄 소재의 소모가 아쉽다.
M069,곤지암,공포/스릴러,2017,94,3,긴장감을 느끼고 싶어,친구랑 보고 싶어,1,체험형 페이크 다큐 형식의 연출로 극강의 청각적 공포와 밀폐된 공간이 주는 긴장감을 극대화했다.,스토리의 개연성이나 서사적 깊이가 부족하여 후반부로 갈수록 허무함이 남는다.
M070,국제시장,시대극/드라마,2014,126,3.8,감동받고 싶어,가족이랑 보고 싶어,1,한국 현대사를 관통하는 아버지 세대의 희생을 생생하게 그려내 가슴 뭉클한 감동을 선사한다.,지나치게 감정을 쥐어짜는 신파적 연출과 역사적 격동기를 미화했다는 시선이 존재한다.
M071,아저씨,액션/스릴러,2010,119,3.9,긴장감을 느끼고 싶어,몰입하고 싶어,0,원빈의 독보적인 비주얼과 한국 액션 영화의 패러다임을 바꾼 스타일리시하고 잔혹한 액션이 압도적이다.,스토리 라인이 할리우드 범죄물과 유사하여 진부하고 조연 캐릭터들의 쓰임새가 평면적이다.
M072,신과 함께-인과 연,판타지/드라마,2018,141,3.7,몰입하고 싶어,반전을 보고 싶어,1,방대한 세계관을 바탕으로 전편보다 깊어진 신과 인간의 서사 및 화려한 CG 비주얼을 자랑한다.,스토리 꼬임이 심해 전개가 다소 산만하며 여전히 신파적인 감정 강요가 느껴진다.
M073,"광해, 왕이 된 남자",역사,2012,131,4,감동받고 싶어,생각하게 만드는 영화를 보고 싶어,0,이병헌의 1인 2역 명연기와 탄탄한 시나리오를 바탕으로 웃음과 감동의 균형을 완벽히 잡았다.,역사적 사실 왜곡에 대한 우려와 기존 헐리우드 영화(데이브)의 플롯과 너무 흡사하다는 지적이 있다.
M074,관상,역사/드라마,2013,142,3.7,몰입하고 싶어,반전을 보고 싶어,0,송강호를 비롯한 배우들의 완벽한 앙상블과 수양대군의 압도적인 등장 신 등 캐릭터의 매력이 엄청나다.,후반부로 갈수록 서사의 힘이 빠지고 역사적 정해진 결말에 갇혀 전개가 답답해진다.
M075,국가대표,스포츠/드라마,2009,126,3.1,감동받고 싶어,성장 이야기가 보고 싶어,0,비인기 종목 선수들의 성장 드라마를 유쾌하고 감동적으로 풀어냈으며 스키점프 신의 역동성이 훌륭하다.,스포츠 영화의 전형적인 흥행 공식을 그대로 답습하여 결말이 쉽게 예측된다.
M076,리바운드,스포츠/드라마,2022,122,3.2,성장 이야기가 보고 싶어,친구랑 보고 싶어,0,실화가 주는 날 것 그대로의 감동과 청춘들의 무해하고 뜨거운 에너지를 스크린에 잘 담아냈다.,스포츠 영화 특유의 전형성을 벗어나지 못해 초반 빌드업 과정이 다소 정형적이다.
M077,도어락,공포/스릴러,2018,102,2.9,긴장감을 느끼고 싶어,몰입하고 싶어,0,현실 밀착형 공포를 자극하여 1인가구가 느낄 수 있는 스릴러적 긴장감을 훌륭하게 연출했다.,후반부로 갈수록 범인의 정체와 행적이 전형적인 슬래셔 무비의 무리한 전개로 이어진다.
M078,목격자,공포/스릴러,2017,111,2.7,긴장감을 느끼고 싶어,,1,살인 사건을 목격하고도 침묵해야 하는 현대 사회의 이기주의를 긴장감 넘치는 스릴러로 잘 풀어냈다.,주인공의 답답한 대처와 개연성 떨어지는 후반부 전개로 인해 스릴러로서의 수사 밀도가 낮다.
M079,타겟,공포/스릴러,2023,101,2.4,긴장감을 느끼고 싶어,몰입하고 싶어,0,중고거래라는 일상적인 소재를 활용하여 누구에게나 일어날 수 있는 현실적인 공포와 몰입감을 준다.,중반 이후 범인을 추적하는 과정이 기존 스릴러 영화들의 익숙한 공식으로 귀결되어 평이하다.
M080,좀비딸,코미디/드라마,2025,113,2.8,웃고 싶어,가족이랑 보고 싶어,1,웹툰 원작의 유쾌한 B급 유머 코드와 좀비가 된 딸을 지키려는 가족애를 감동적으로 버무렸다.,원작 특유의 개그 호흡을 실사화하는 과정에서 연출의 호불호가 다소 갈릴 수 있다.
M081,파일럿,코미디,2024,110,2.7,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,0,조정석의 신들린 코믹 연기와 여장 남자라는 파격적인 설정을 활용한 슬랩스틱 유머가 큰 웃음을 준다.,성 고정관념을 다루는 방식이 피상적이고 후반부 갈등 해결이 다소 급작스럽고 전형적이다.
M082,건축학개론,로맨스/드라마,2012,118,3.5,설레고 싶어,음악이 좋은 영화를 보고 싶어,0,첫사랑의 아련한 추억과 90년대 감성을 세련되게 자극하여 웰메이드 정통 멜로의 정석을 보여준다.,남성 중심적인 시선의 첫사랑 기억 왜곡과 과거와 현재를 오가는 흐름이 다소 늘어질 수 있다.
